Date,Clicks,Impressions,CTR,Position
2025-08-11,0,0,,
2025-08-12,0,0,,
2025-08-13,1,2,50%,1
2025-08-14,0,0,,
2025-08-15,0,1,0%,1
2025-08-16,0,4,0%,20.8
2025-08-17,0,1,0%,65
2025-08-18,0,3,0%,51.3
2025-08-19,0,4,0%,53
2025-08-20,0,3,0%,24.3
2025-08-21,0,3,0%,70.3
2025-08-22,0,6,0%,28.8
2025-08-23,0,7,0%,41
2025-08-24,0,7,0%,16.6
2025-08-25,1,15,6.67%,20.6
2025-08-26,0,12,0%,30.6
2025-08-27,1,11,9.09%,17.4
2025-08-28,0,18,0%,41.6
2025-08-29,0,10,0%,21.2
2025-08-30,0,7,0%,46
2025-08-31,0,4,0%,68.2
2025-09-01,0,7,0%,69.9
2025-09-02,0,18,0%,23.7
2025-09-03,1,8,12.5%,50.1
2025-09-04,1,5,20%,35.8
2025-09-05,0,3,0%,47.7
2025-09-06,0,6,0%,23.3
2025-09-07,0,5,0%,43.2
2025-09-08,2,10,20%,20.6
2025-09-09,1,10,10%,25.4
2025-09-10,1,5,20%,22
2025-09-11,0,6,0%,20
2025-09-12,0,2,0%,3
2025-09-13,0,5,0%,59.6
2025-09-14,0,4,0%,4.5
2025-09-15,0,9,0%,4.3
2025-09-16,1,8,12.5%,2.9
2025-09-17,0,5,0%,5.4
2025-09-18,0,10,0%,5.5
2025-09-19,1,7,14.29%,3.1
2025-09-20,0,1,0%,157
2025-09-21,0,2,0%,6
2025-09-22,0,6,0%,14.2
2025-09-23,1,11,9.09%,4.1
2025-09-24,0,12,0%,9.5
2025-09-25,1,11,9.09%,4.6
2025-09-26,0,8,0%,4.4
2025-09-27,0,6,0%,28.2
2025-09-28,0,8,0%,4.6
2025-09-29,0,19,0%,5
2025-09-30,0,16,0%,7.1
2025-10-01,0,10,0%,9.7
2025-10-02,0,7,0%,4.6
2025-10-03,0,23,0%,4.3
2025-10-04,0,9,0%,3.9
2025-10-05,1,11,9.09%,3.5
2025-10-06,2,20,10%,3.6
2025-10-07,2,24,8.33%,4.8
2025-10-08,1,17,5.88%,5.1
2025-10-09,1,10,10%,3.9
2025-10-10,0,17,0%,5.1
2025-10-11,1,7,14.29%,16.1
2025-10-12,0,11,0%,9.4
2025-10-13,2,20,10%,8.2
2025-10-14,0,15,0%,17.4
2025-10-15,0,16,0%,5.2
2025-10-16,1,19,5.26%,14.2
2025-10-17,0,18,0%,5.9
2025-10-18,0,17,0%,11.7
2025-10-19,0,6,0%,15.7
2025-10-20,0,17,0%,11.2
2025-10-21,1,12,8.33%,6.8
2025-10-22,1,19,5.26%,5.9
2025-10-23,0,11,0%,10
2025-10-24,0,16,0%,7.6
2025-10-25,0,6,0%,7.8
2025-10-26,0,13,0%,8.2
2025-10-27,0,19,0%,6.7
2025-10-28,0,16,0%,5.9
2025-10-29,0,10,0%,5.6
2025-10-30,0,9,0%,14.4
2025-10-31,0,14,0%,16.5
2025-11-01,0,10,0%,6.1
2025-11-02,0,7,0%,4.4
2025-11-03,0,14,0%,12.1
2025-11-04,1,13,7.69%,7.6
2025-11-05,1,18,5.56%,12.9
2025-11-06,0,11,0%,5.8
2025-11-07,0,15,0%,9.1
2025-11-08,0,18,0%,11.1
2025-11-09,0,20,0%,7.5
2025-11-10,0,15,0%,12.8
2025-11-11,0,22,0%,13.2
2025-11-12,0,23,0%,20.8
2025-11-13,1,22,4.55%,10.4
2025-11-14,0,19,0%,15.7
2025-11-15,0,9,0%,5.1
2025-11-16,0,9,0%,6.4
2025-11-17,0,15,0%,5.8
2025-11-18,0,20,0%,5.2
2025-11-19,0,14,0%,14.6
2025-11-20,0,11,0%,7.1
2025-11-21,0,16,0%,17.6
2025-11-22,0,12,0%,4.8
2025-11-23,0,8,0%,7.1
2025-11-24,0,10,0%,5.6
2025-11-25,1,14,7.14%,5.2
2025-11-26,0,14,0%,7.8
2025-11-27,0,11,0%,5.9
2025-11-28,0,10,0%,4.3
2025-11-29,0,9,0%,5.6
2025-11-30,0,4,0%,6
2025-12-01,1,25,4%,8.5
2025-12-02,1,16,6.25%,10.9
2025-12-03,0,15,0%,11.9
2025-12-04,0,7,0%,17.9
2025-12-05,0,14,0%,13.5
2025-12-06,1,9,11.11%,5.7
2025-12-07,0,9,0%,5.7
2025-12-08,1,15,6.67%,4.2
2025-12-09,1,15,6.67%,17.5
2025-12-10,0,2,0%,5
2025-12-11,0,14,0%,7.3
2025-12-12,1,11,9.09%,13.1
2025-12-13,1,8,12.5%,5.2
2025-12-14,0,7,0%,7.4
2025-12-15,0,9,0%,5.7
2025-12-16,0,14,0%,10.5
2025-12-17,0,12,0%,21.5
2025-12-18,0,7,0%,6
2025-12-19,0,6,0%,5
2025-12-20,0,8,0%,8.4
2025-12-21,1,9,11.11%,5.8
2025-12-22,0,9,0%,3.2
2025-12-23,1,12,8.33%,5.5
2025-12-24,0,8,0%,5.6
2025-12-25,0,3,0%,6.7
2025-12-26,0,3,0%,4.7
2025-12-27,0,9,0%,13
2025-12-28,0,7,0%,15
2025-12-29,0,4,0%,7
2025-12-30,0,9,0%,5.4
2025-12-31,0,7,0%,7.1
2026-01-01,0,9,0%,23.2
2026-01-02,0,11,0%,5.7
